Title,Date,URL,Image URL,Publication
"AFFINITY CBO Angela Smith on does the advertising industry need a reality check?","16th August 2023","https://www.campaignasia.com/article/drinking-rose-on-a-yacht-whilst-debating-ai-does-the-advertising-industry-need-a/485570","https://affinity.ad/assets/Uploads/Drinking-Rose-on-a-yacht__FillMaxWzg3Niw2MDZd.jpeg","Campaign Asia"
"AFFINITY Bright Spark Christian Di Virgilio's landed in AdNews Australia for his idea, The Diamond Pencil.","16th August 2023","https://www.adnews.com.au/news/award-school-awards-hijacked","https://affinity.ad/assets/Uploads/The_Diamond_Pencil_Christian_2__FillMaxWzg3Niw2MDZd.jpg","AdNews"
"How authentic is your brand authenticity? Luke Brown shares his thoughts with Mumbrella ","11th August 2023","https://mumbrella.com.au/how-authentic-is-your-brand-authenticity-797043","https://affinity.ad/assets/Uploads/OutThink_August_16_Authenticity_image__FillMaxWzg3Niw2MDZd.jpg","Mumbrella"
"'We're thrilled to launch our Female Leaders of Tomorrow programme.'- Angela Smith IMAA DE&I Council Chair","1st August 2023","https://www.mediaweek.com.au/imaa-launches-female-leaders-of-tomorrow-programme","https://affinity.ad/assets/Uploads/Angela-Smith-__FillMaxWzg3Niw2MDZd.jpeg","Media Week"
"IMAA launches Female Leaders of Tomorrow programme, with Angela Smith as IMAA DE&I Council Chair","1st August 2023","https://www.adnews.com.au/news/independents-media-agencies-launch-female-leaders-of-tomorrow","https://affinity.ad/assets/Uploads/Angela_Smith_AFFINITY__FillMaxWzg3Niw2MDZd.jpg","AdNews"
"Five heavy-metal thoughts following Cannes '23","27th July 2023","https://www.bandt.com.au/five-heavy-metal-thoughts-post-cannes-23","https://affinity.ad/assets/Uploads/AFFINITY_Christian_Di_Virgilio_landscape__FillMaxWzg3Niw2MDZd.jpg","B&T"
"Will Barbie mania last forever? Dani Collins shares her thoughts with AdNews","20th July 2023","https://www.adnews.com.au/news/barbie-mania-australia-the-ultimate-brand-campaign","https://affinity.ad/assets/Uploads/Barbie_Mania-v2__FillMaxWzg3Niw2MDZd.jpeg","AdNews"
"Meta's record $2 billion data fine is a punishment for change inertia","1st June 2023","https://mumbrella.com.au/metas-record-2-billion-data-fine-is-a-punishment-for-change-inertia-789172","https://affinity.ad/assets/Uploads/Rob-copy-3__FillMaxWzg3Niw2MDZd.jpg","Mumbrella"
"Our CBO Angela Smith discusses navigating the challenges of 2023","29th May 2023","https://www.mediaweek.com.au/mediaweek-agency-50-affinitys-angela-smith","https://affinity.ad/assets/Uploads/Angela-Smith-__FillMaxWzg3Niw2MDZd.jpeg","Mediaweek"
"Caspar Yuill on getting an incredible advantage in the age of AI","3rd May 2023","https://mumbrella.com.au/getting-an-incredible-advantage-in-the-age-of-ai-785390","https://affinity.ad/assets/Uploads/00_CasperP1082671__FillMaxWzg3Niw2MDZd.jpg","Mumbrella"
